故障编码,故障域,故障名称,故障表现（验证方法）,故障原因,解决办法
urma_387,URMA,分配JFC过程中依赖步骤失败,"关键日志：匹配`urma_alloc_jfc`，匹配`jfc cfg depth of range, depth:`，匹配`, max_depth:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数用于分配JFC，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_388,OS,JFC相关临时结构或命令参数分配失败,关键日志：匹配`urma_alloc_jfc`，匹配`failed to exec ops->alloc_jfc`；日志路径：系统日志文件（URMA_LOG_PATH）,函数在分配JFC前需要申请命令参数、资源描述或临时缓存，内存分配失败会阻断后续URMA资源处理。,无
urma_389,硬件,JFS创建时下层资源准备失败,"关键日志：匹配`urma_check_order_type`，匹配`[DRV_ERR]Failed to create jfs, dev_name:`，匹配`, eid_idx:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数负责创建JFS，依赖的provider接口、驱动命令、子资源或路由信息未成功返回，导致资源无法建立。,无
urma_390,OS,JFS相关临时结构或命令参数分配失败,关键日志：匹配`urma_delete_jfs_batch`，匹配`Failed to alloc memory.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数在分配JFS前需要申请命令参数、资源描述或临时缓存，内存分配失败会阻断后续URMA资源处理。,无
urma_391,用户,URMA context、provider操作表、JFS对象无效导致分配JFS失败,关键日志：匹配`urma_alloc_jfs`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于分配JFS，调用方传入的URMA context、provider操作表、JFS对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_392,用户,URMA context、provider操作表、JFS对象无效导致分配JFS失败,"关键日志：匹配`urma_alloc_jfs`，匹配`Invalid parameter, trans_mode:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数用于分配JFS，调用方传入的URMA context、provider操作表、JFS对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_393,用户,URMA context、设备对象、sysfs设备信息、provider操作表、provider未提供alloc_jfs操作实现无效导致分配JFS失败,关键日志：匹配`urma_alloc_jfs`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于分配JFS，调用方传入的URMA context、设备对象、sysfs设备信息、provider操作表、provider未提供alloc_jfs操作实现不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_394,URMA,分配JFS过程中依赖步骤失败,"关键日志：匹配`urma_alloc_jfs`，匹配`jfs cfg out of range, depth:`，匹配`, max_depth:`，匹配`, inline_data:`，匹配`, max_inline_len:`，匹配`, sge:`，匹配`hu, max_sge:`，匹配`, rsge:`，匹配`hu, max_rsge:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数用于分配JFS，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_395,硬件,JFR创建时下层资源准备失败,"关键日志：匹配`urma_deactive_jfs`，匹配`[DRV_ERR]Failed to create jfr, dev_name:`，匹配`, eid_idex:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数负责创建JFR，依赖的provider接口、驱动命令、子资源或路由信息未成功返回，导致资源无法建立。,无
urma_396,OS,JFR相关临时结构或命令参数分配失败,关键日志：匹配`urma_delete_jfr_batch`，匹配`Failed to alloc memory.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数在分配JFR前需要申请命令参数、资源描述或临时缓存，内存分配失败会阻断后续URMA资源处理。,无
urma_397,URMA,设置Token过程中依赖步骤失败,关键日志：匹配`urma_check_ctrlplane_compat`，匹配`Token value must be set when token policy is not URMA_TOKEN_NONE.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于设置Token，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_398,用户,URMA context、provider操作表、JFR对象无效导致分配JFR失败,关键日志：匹配`urma_alloc_jfr`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于分配JFR，调用方传入的URMA context、provider操作表、JFR对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_399,用户,URMA context、provider操作表、JFR对象无效导致分配JFR失败,"关键日志：匹配`urma_alloc_jfr`，匹配`Invalid parameter, trans_mode:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数用于分配JFR，调用方传入的URMA context、provider操作表、JFR对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_400,用户,URMA context、设备对象、sysfs设备信息、provider操作表、provider未提供alloc_jfr操作实现无效导致分配JFR失败,关键日志：匹配`urma_alloc_jfr`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于分配JFR，调用方传入的URMA context、设备对象、sysfs设备信息、provider操作表、provider未提供alloc_jfr操作实现不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_401,URMA,分配JFR过程中依赖步骤失败,"关键日志：匹配`urma_alloc_jfr`，匹配`jfr cfg out of range, depth:`，匹配`, max_depth:`，匹配`, sge:`，匹配`, max_sge:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数用于分配JFR，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_402,硬件,JFCE创建时下层资源准备失败,"关键日志：匹配`urma_deactive_jfr`，匹配`[DRV_ERR]Failed to create jfce, dev_name:`，匹配`, eid_idx:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数负责创建JFCE，依赖的provider接口、驱动命令、子资源或路由信息未成功返回，导致资源无法建立。,无
urma_403,用户,URMA context、provider操作表无效导致释放Token失败,关键日志：匹配`urma_free_token_id`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于释放Token，调用方传入的URMA context、provider操作表不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_404,URMA,释放Token过程中依赖步骤失败,"关键日志：匹配`urma_free_token_id`，匹配`ref:`，匹配`u, not zero`；日志路径：系统日志文件（URMA_LOG_PATH）",函数用于释放Token，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_405,用户,URMA context、provider操作表、provider未提供free_token_id操作实现无效导致释放Token失败,关键日志：匹配`urma_free_token_id`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于释放Token，调用方传入的URMA context、provider操作表、provider未提供free_token_id操作实现不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_406,URMA,Token清理阶段下层释放操作失败,"关键日志：匹配`urma_free_token_id`，匹配`[DRV_ERR]Failed to free token_id, dev_name:`，匹配`, eid_idx:`，匹配`, tid:`，匹配`, ret:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数负责释放或撤销Token相关资源，下层provider、驱动或引用状态返回失败，可能残留已创建的URMA资源。,无
urma_407,用户,注册URMA资源所需输入对象无效导致注册URMA资源失败,关键日志：匹配`urma_register_log_func`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于注册URMA资源，调用方传入的注册URMA资源所需输入对象不满足接口前置条件，无法继续完成本次URMA操作。,当前不会触发失败
urma_408,硬件,context创建时下层资源准备失败,关键日志：匹配`urma_query_eid`，匹配`[DRV_ERR]Failed to create urma context.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责创建context，依赖的provider接口、驱动命令、子资源或路由信息未成功返回，导致资源无法建立。,无
urma_409,URMA,设备注册时下层资源准备失败,关键日志：匹配`urma_register_sysfs_dev`，匹配`Register device failed. Failed to match driver for device`；日志路径：系统日志文件（URMA_LOG_PATH）；向下级匹配。,向下级匹配。,向下级匹配。
urma_410,URMA,查询物理 JFR过程中依赖步骤失败,"关键日志：匹配`bondp_query_jfr`，匹配`query pjfr fail, index:`，匹配`, ret:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数用于查询物理 JFR，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_411,用户,URMA context无效导致查询端口失败,关键日志：匹配`bondp_user_ctl_query_port`，匹配`Invalid query port param.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于查询端口，调用方传入的URMA context不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_412,用户,URMA context、JFR对象无效导致查询JFR失败,关键日志：匹配`bondp_user_ctl_query_port`，匹配`Invalid jfr.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于查询JFR，调用方传入的URMA context、JFR对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_413,URMA,查询context过程中依赖步骤失败,关键日志：匹配`bondp_user_ctl_query_port`，匹配`The object does not belong to current context.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于查询context，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_414,用户,URMA context无效导致获取EID失败,关键日志：匹配`bondp_get_async_event`，匹配`Invalid parameter`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取EID，调用方传入的URMA context不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_415,URMA,epoll数据通路处理失败,关键日志：匹配`bondp_get_async_event`，匹配`epoll_wait no event or err.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数处理URMA数据收发路径，需要完成WR转换、投递、完成事件处理或重传，相关对象状态或下层操作失败导致数据通路中断。,无
urma_416,URMA,epoll数据通路处理失败,关键日志：匹配`bondp_get_async_event`，匹配`bondp get error epoll_event: 0x`；日志路径：系统日志文件（URMA_LOG_PATH）,函数处理URMA数据收发路径，需要完成WR转换、投递、完成事件处理或重传，相关对象状态或下层操作失败导致数据通路中断。,无
urma_417,URMA,获取组件过程中依赖步骤失败,"关键日志：匹配`resend_jfs_wr`，匹配`Failed to get comp, local_id:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数用于获取组件，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_418,URMA,未找到可用于修改端口的有效对象或路由,关键日志：匹配`handle_send_cr_with_store`，匹配`Failed to find valid port for retransmission.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数在修改端口过程中需要查找已建立的资源、端口或路由映射，但当前表项缺失或状态不可用，导致后续操作无法定位目标。,无
urma_419,URMA,获取context过程中依赖步骤失败,"关键日志：匹配`get_topo_info_from_ko`，匹配`Failed to get topo info, change to general mode`；日志路径：系统日志文件（URMA_LOG_PATH）",函数用于获取context，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_420,URMA,获取健康检查过程中依赖步骤失败,"关键日志：匹配`bondp_delete_pcontext`，匹配`Failed to get topo info, change to general mode`；日志路径：系统日志文件（URMA_LOG_PATH）",函数用于获取健康检查，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_421,用户,获取EID所需输入对象无效导致获取EID失败,关键日志：匹配`get_bonding_eid_by_target_eid`，匹配`Invalid param`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取EID，调用方传入的获取EID所需输入对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_422,用户,URMA context、JFS对象无效导致查询JFS失败,关键日志：匹配`urma_cmd_query_jfs`，匹配`Invalid parameter`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于查询JFS，调用方传入的URMA context、JFS对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_423,硬件,查询ioctl的ioctl调用返回失败,"关键日志：匹配`urma_cmd_query_jfs`，匹配`ioctl failed, ret:`，匹配`, errno:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数通过ioctl向URMA内核驱动提交查询ioctl请求，驱动返回错误或系统调用失败，用户态无法获得预期的驱动处理结果。,无
urma_424,用户,URMA context、JFS对象无效导致获取JFS失败,关键日志：匹配`urma_cmd_get_jfs_opt`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取JFS，调用方传入的URMA context、JFS对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_425,用户,URMA context、JFS对象无效导致获取JFS失败,关键日志：匹配`urma_cmd_get_jfs_opt`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取JFS，调用方传入的URMA context、JFS对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_426,硬件,获取ioctl的ioctl调用返回失败,"关键日志：匹配`urma_cmd_get_jfs_opt`，匹配`ioctl failed in urma_cmd_get_jfs_opt, ret:`，匹配`, errno:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数通过ioctl向URMA内核驱动提交获取ioctl请求，驱动返回错误或系统调用失败，用户态无法获得预期的驱动处理结果。,无
urma_427,用户,URMA context无效导致获取JFS失败,关键日志：匹配`urma_cmd_get_jfs_opt`，匹配`Invalid out buffer from kernel.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取JFS，调用方传入的URMA context不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_428,用户,URMA context、JFR对象无效导致查询JFR失败,关键日志：匹配`urma_cmd_query_jfr`，匹配`Invalid parameter`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于查询JFR，调用方传入的URMA context、JFR对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_429,硬件,查询ioctl的ioctl调用返回失败,"关键日志：匹配`urma_cmd_query_jfr`，匹配`ioctl failed, ret:`，匹配`, errno:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数通过ioctl向URMA内核驱动提交查询ioctl请求，驱动返回错误或系统调用失败，用户态无法获得预期的驱动处理结果。,无
urma_430,用户,URMA context无效导致获取JFC失败,关键日志：匹配`urma_cmd_get_jfc_opt`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取JFC，调用方传入的URMA context不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_431,用户,URMA context无效导致获取JFC失败,关键日志：匹配`urma_cmd_get_jfc_opt`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取JFC，调用方传入的URMA context不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_432,硬件,获取ioctl的ioctl调用返回失败,"关键日志：匹配`urma_cmd_get_jfc_opt`，匹配`ioctl failed in urma_cmd_get_jfc_opt, ret:`，匹配`, errno:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数通过ioctl向URMA内核驱动提交获取ioctl请求，驱动返回错误或系统调用失败，用户态无法获得预期的驱动处理结果。,无
urma_433,用户,URMA context无效导致获取JFC失败,关键日志：匹配`urma_cmd_get_jfc_opt`，匹配`Invalid out buffer from kernel.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取JFC，调用方传入的URMA context不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_434,用户,URMA context、JFR对象无效导致获取JFR失败,关键日志：匹配`urma_cmd_get_jfr_opt`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取JFR，调用方传入的URMA context、JFR对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_435,用户,URMA context、JFR对象无效导致获取JFR失败,关键日志：匹配`urma_cmd_get_jfr_opt`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取JFR，调用方传入的URMA context、JFR对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_436,硬件,获取ioctl的ioctl调用返回失败,"关键日志：匹配`urma_cmd_get_jfr_opt`，匹配`ioctl failed in urma_cmd_get_jfr_opt, ret:`，匹配`, errno:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数通过ioctl向URMA内核驱动提交获取ioctl请求，驱动返回错误或系统调用失败，用户态无法获得预期的驱动处理结果。,无
urma_437,用户,URMA context无效导致获取JFR失败,关键日志：匹配`urma_cmd_get_jfr_opt`，匹配`Invalid out buffer from kernel.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取JFR，调用方传入的URMA context不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_438,用户,URMA context无效导致获取JFC失败,关键日志：匹配`urma_cmd_get_async_event`，匹配`Invalid parameter`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取JFC，调用方传入的URMA context不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_439,用户,URMA context无效导致获取ioctl失败,关键日志：匹配`urma_cmd_get_net_addr_list`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取ioctl，调用方传入的URMA context不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_440,用户,URMA context、sysfs设备信息无效导致查询设备失败,关键日志：匹配`urma_cmd_query_device_attr`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于查询设备，调用方传入的URMA context、sysfs设备信息不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_441,用户,URMA context无效导致获取EID失败,关键日志：匹配`urma_cmd_get_eid_by_ip`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取EID，调用方传入的URMA context不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_442,用户,URMA context无效导致获取EID失败,关键日志：匹配`urma_cmd_get_ip_by_eid`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取EID，调用方传入的URMA context不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_443,用户,URMA context无效导致获取context失败,关键日志：匹配`urma_cmd_get_smac`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取context，调用方传入的URMA context不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_444,用户,URMA context无效导致获取context失败,关键日志：匹配`urma_cmd_get_dmac`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取context，调用方传入的URMA context不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_445,硬件,执行get async event驱动命令的ioctl调用返回失败,"关键日志：匹配`urma_ioctl_get_async_event`，匹配`get async event ioctl failed, ret:`，匹配`, errno:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数通过ioctl向URMA内核驱动提交执行get async event驱动命令请求，驱动返回错误或系统调用失败，用户态无法获得预期的驱动处理结果。,无
urma_446,用户,获取JFC所需输入对象无效导致获取JFC失败,关键日志：匹配`urma_get_jfc_opt`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取JFC，调用方传入的获取JFC所需输入对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_447,用户,URMA context、provider操作表、provider未提供get_jfc_opt操作实现无效导致获取JFC失败,关键日志：匹配`urma_get_jfc_opt`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取JFC，调用方传入的URMA context、provider操作表、provider未提供get_jfc_opt操作实现不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_448,URMA,获取JFC过程中依赖步骤失败,关键日志：匹配`urma_get_jfc_opt`，匹配`Failed to exec ops->get_jfc_opt.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取JFC，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_449,用户,URMA context、provider操作表、JFS对象无效导致查询JFS失败,关键日志：匹配`urma_query_jfs`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于查询JFS，调用方传入的URMA context、provider操作表、JFS对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_450,用户,URMA context、provider操作表、JFS对象、provider未提供query_jfs操作实现无效导致查询JFS失败,关键日志：匹配`urma_query_jfs`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于查询JFS，调用方传入的URMA context、provider操作表、JFS对象、provider未提供query_jfs操作实现不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_451,用户,provider操作表、JFS对象无效导致获取JFS失败,关键日志：匹配`urma_get_jfs_opt`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取JFS，调用方传入的provider操作表、JFS对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_452,用户,URMA context、provider操作表、JFS对象、provider未提供get_jfs_opt操作实现无效导致获取JFS失败,关键日志：匹配`urma_get_jfs_opt`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取JFS，调用方传入的URMA context、provider操作表、JFS对象、provider未提供get_jfs_opt操作实现不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_453,URMA,获取JFS过程中依赖步骤失败,关键日志：匹配`urma_get_jfs_opt`，匹配`Failed to exec ops->get_jfs_opt.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取JFS，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_454,用户,URMA context、provider操作表、JFR对象无效导致查询JFR失败,关键日志：匹配`urma_query_jfr`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于查询JFR，调用方传入的URMA context、provider操作表、JFR对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_455,用户,URMA context、provider操作表、JFR对象、provider未提供query_jfr操作实现无效导致查询JFR失败,关键日志：匹配`urma_query_jfr`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于查询JFR，调用方传入的URMA context、provider操作表、JFR对象、provider未提供query_jfr操作实现不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_456,用户,provider操作表、JFR对象无效导致获取JFR失败,关键日志：匹配`urma_get_jfr_opt`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取JFR，调用方传入的provider操作表、JFR对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_457,用户,URMA context、provider操作表、JFR对象、provider未提供get_jfr_opt操作实现无效导致获取JFR失败,关键日志：匹配`urma_get_jfr_opt`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取JFR，调用方传入的URMA context、provider操作表、JFR对象、provider未提供get_jfr_opt操作实现不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_458,URMA,获取JFR过程中依赖步骤失败,关键日志：匹配`urma_get_jfr_opt`，匹配`Failed to exec ops->get_jfr_opt.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取JFR，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_459,OS,设备、EID、端口、能力或字符设备路径信息的sysfs读取或解析失败,关键日志：匹配`urma_check_seg_cfg`，匹配`Write access should be config with read access.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数需要从sysfs获取设备、EID、端口、能力或字符设备路径信息来构建设备上下文，文件打开、读取或内容解析失败导致URMA无法完成设备发现或能力初始化。,无
urma_460,OS,设备、EID、端口、能力或字符设备路径信息的sysfs读取或解析失败,关键日志：匹配`urma_check_seg_cfg`，匹配`Atomic access should be config with read and write access.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数需要从sysfs获取设备、EID、端口、能力或字符设备路径信息来构建设备上下文，文件打开、读取或内容解析失败导致URMA无法完成设备发现或能力初始化。,无
urma_461,用户,URMA context、provider操作表、JFS对象无效导致获取JFR失败,关键日志：匹配`urma_get_async_event`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取JFR，调用方传入的URMA context、provider操作表、JFS对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_462,用户,URMA context、provider操作表、provider未提供get_async_event操作实现无效导致获取context失败,关键日志：匹配`urma_get_async_event`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取context，调用方传入的URMA context、provider操作表、provider未提供get_async_event操作实现不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_463,用户,URMA context、provider操作表无效导致获取EID失败,关键日志：匹配`urma_get_eid_by_ip`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取EID，调用方传入的URMA context、provider操作表不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_464,用户,URMA context、provider操作表、provider未提供get_eid_by_ip操作实现无效导致获取EID失败,关键日志：匹配`urma_get_eid_by_ip`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取EID，调用方传入的URMA context、provider操作表、provider未提供get_eid_by_ip操作实现不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_465,用户,URMA context、provider操作表无效导致获取EID失败,关键日志：匹配`urma_get_ip_by_eid`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取EID，调用方传入的URMA context、provider操作表不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_466,用户,URMA context、provider操作表、provider未提供get_ip_by_eid操作实现无效导致获取EID失败,关键日志：匹配`urma_get_ip_by_eid`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取EID，调用方传入的URMA context、provider操作表、provider未提供get_ip_by_eid操作实现不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_467,用户,URMA context、provider操作表无效导致获取context失败,关键日志：匹配`urma_get_smac`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取context，调用方传入的URMA context、provider操作表不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_468,用户,URMA context、provider操作表、provider未提供get_smac操作实现无效导致获取context失败,关键日志：匹配`urma_get_smac`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取context，调用方传入的URMA context、provider操作表、provider未提供get_smac操作实现不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_469,用户,URMA context、provider操作表无效导致获取context失败,关键日志：匹配`urma_get_dmac`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取context，调用方传入的URMA context、provider操作表不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_470,用户,URMA context、provider操作表、provider未提供get_dmac操作实现无效导致获取context失败,关键日志：匹配`urma_get_dmac`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取context，调用方传入的URMA context、provider操作表、provider未提供get_dmac操作实现不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_471,OS,读取sysfs过程中依赖步骤失败,关键日志：匹配`urma_read_sysfs_file`，匹配`snprintf failed`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于读取sysfs，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_472,OS,设备、EID、端口、能力或字符设备路径信息的sysfs读取或解析失败,"关键日志：匹配`urma_read_sysfs_file`，匹配`Failed open file:`，匹配`, errno:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数需要从sysfs获取设备、EID、端口、能力或字符设备路径信息来构建设备上下文，文件打开、读取或内容解析失败导致URMA无法完成设备发现或能力初始化。,无
urma_473,OS,设备、EID、端口、能力或字符设备路径信息的sysfs读取或解析失败,"关键日志：匹配`urma_read_sysfs_file`，匹配`Failed read file:`，匹配`, ret:`，匹配`d, errno:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数需要从sysfs获取设备、EID、端口、能力或字符设备路径信息来构建设备上下文，文件打开、读取或内容解析失败导致URMA无法完成设备发现或能力初始化。,无
urma_474,URMA,读取EID过程中依赖步骤失败,"关键日志：匹配`read_eid_list_sysyf`，匹配`printf failed, eid idx:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数用于读取EID，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
